manifold_2_4_1:  ( + ; 0 ) = S^2
manifold_2_9_246:  ( - ; 3 )
manifold_2_9_247:  ( - ; 3 )
manifold_2_9_248:  ( - ; 3 )
manifold_2_9_249:  ( - ; 3 )
manifold_2_9_250:  ( - ; 4 )
manifold_2_9_251:  ( - ; 4 )
manifold_2_9_252:  ( - ; 5 )
manifold_2_9_253:  ( - ; 5 )
manifold_2_9_254:  ( - ; 2 ) = Klein bottle
manifold_2_9_255:  ( - ; 3 )
manifold_2_9_256:  ( - ; 3 )
manifold_2_9_257:  ( - ; 4 )
manifold_2_9_258:  ( - ; 2 ) = Klein bottle
manifold_2_9_259:  ( - ; 2 ) = Klein bottle
manifold_2_9_260:  ( - ; 2 ) = Klein bottle
manifold_2_9_261:  ( - ; 2 ) = Klein bottle
manifold_2_9_262:  ( - ; 2 ) = Klein bottle
manifold_2_9_263:  ( - ; 2 ) = Klein bottle
manifold_2_9_264:  ( - ; 2 ) = Klein bottle
manifold_2_9_265:  ( - ; 4 )
manifold_2_9_266:  ( - ; 4 )
manifold_2_9_267:  ( - ; 4 )
manifold_2_9_268:  ( - ; 4 )
manifold_2_9_269:  ( - ; 4 )
manifold_2_9_270:  ( - ; 3 )
manifold_2_9_271:  ( - ; 2 ) = Klein bottle
manifold_2_9_272:  ( - ; 2 ) = Klein bottle
manifold_2_9_273:  ( - ; 2 ) = Klein bottle
manifold_2_9_274:  ( + ; 1 ) = T^2
manifold_2_9_275:  ( + ; 1 ) = T^2
manifold_2_9_276:  ( - ; 3 )
manifold_2_9_277:  ( - ; 4 )
manifold_2_9_278:  ( - ; 4 )
manifold_2_9_279:  ( - ; 4 )
manifold_2_9_280:  ( - ; 4 )
manifold_2_9_281:  ( - ; 4 )
manifold_2_9_282:  ( - ; 3 )
manifold_2_9_283:  ( - ; 4 )
manifold_2_9_284:  ( - ; 2 ) = Klein bottle
manifold_2_9_285:  ( - ; 2 ) = Klein bottle
manifold_2_9_286:  ( - ; 3 )
manifold_2_9_287:  ( - ; 3 )
manifold_2_9_288:  ( - ; 3 )
manifold_2_9_289:  ( - ; 3 )
manifold_2_9_290:  ( - ; 3 )
manifold_2_9_291:  ( - ; 3 )
manifold_2_9_292:  ( - ; 3 )
manifold_2_9_293:  ( - ; 2 ) = Klein bottle
manifold_2_9_294:  ( + ; 1 ) = T^2
manifold_2_9_295:  ( + ; 1 ) = T^2
manifold_2_9_296:  ( + ; 1 ) = T^2
manifold_2_9_297:  ( + ; 1 ) = T^2
manifold_2_9_298:  ( + ; 1 ) = T^2
manifold_2_9_299:  ( - ; 3 )
manifold_2_9_300:  ( - ; 2 ) = Klein bottle
manifold_2_9_301:  ( - ; 3 )
manifold_2_9_302:  ( - ; 3 )
manifold_2_9_303:  ( - ; 3 )
manifold_2_9_304:  ( - ; 3 )
manifold_2_9_305:  ( - ; 3 )
manifold_2_9_306:  ( - ; 3 )
manifold_2_9_307:  ( - ; 4 )
manifold_2_9_308:  ( - ; 4 )
manifold_2_9_309:  ( - ; 4 )
manifold_2_9_310:  ( + ; 1 ) = T^2
manifold_2_9_311:  ( + ; 1 ) = T^2
manifold_2_9_312:  ( + ; 1 ) = T^2
manifold_2_9_313:  ( + ; 1 ) = T^2
manifold_2_9_314:  ( + ; 1 ) = T^2
manifold_2_9_315:  ( - ; 2 ) = Klein bottle
manifold_2_9_316:  ( - ; 2 ) = Klein bottle
manifold_2_9_317:  ( - ; 3 )
manifold_2_9_318:  ( + ; 1 ) = T^2
manifold_2_9_319:  ( - ; 3 )
manifold_2_9_320:  ( - ; 3 )
manifold_2_9_321:  ( - ; 3 )
manifold_2_9_322:  ( + ; 1 ) = T^2
manifold_2_9_323:  ( - ; 4 )
manifold_2_9_324:  ( - ; 3 )
manifold_2_9_325:  ( - ; 4 )
manifold_2_9_326:  ( + ; 1 ) = T^2
manifold_2_9_327:  ( - ; 2 ) = Klein bottle
manifold_2_9_328:  ( - ; 2 ) = Klein bottle
manifold_2_9_329:  ( - ; 3 )
manifold_2_9_330:  ( - ; 3 )
manifold_2_9_331:  ( - ; 4 )
manifold_2_9_332:  ( - ; 3 )
manifold_2_9_333:  ( - ; 3 )
manifold_2_9_334:  ( - ; 2 ) = Klein bottle
manifold_2_9_335:  ( + ; 1 ) = T^2
manifold_2_9_336:  ( + ; 1 ) = T^2
manifold_2_9_337:  ( + ; 1 ) = T^2
manifold_2_9_338:  ( - ; 3 )
manifold_2_9_339:  ( - ; 2 ) = Klein bottle
manifold_2_9_340:  ( - ; 2 ) = Klein bottle
manifold_2_9_341:  ( - ; 3 )
manifold_2_9_342:  ( - ; 4 )
manifold_2_9_343:  ( - ; 3 )
manifold_2_9_344:  ( - ; 3 )
manifold_2_9_345:  ( - ; 3 )
manifold_2_9_346:  ( - ; 3 )
manifold_2_9_347:  ( - ; 4 )
manifold_2_9_348:  ( - ; 2 ) = Klein bottle
manifold_2_9_349:  ( - ; 4 )
manifold_2_9_350:  ( - ; 3 )
manifold_2_9_351:  ( - ; 3 )
manifold_2_9_352:  ( - ; 3 )
manifold_2_9_353:  ( - ; 3 )
manifold_2_9_354:  ( - ; 3 )
manifold_2_9_355:  ( - ; 4 )
manifold_2_9_356:  ( - ; 4 )
manifold_2_9_357:  ( - ; 3 )
manifold_2_9_358:  ( - ; 3 )
manifold_2_9_359:  ( - ; 3 )
manifold_2_9_360:  ( - ; 3 )
manifold_2_9_361:  ( - ; 4 )
manifold_2_9_362:  ( - ; 2 ) = Klein bottle
manifold_2_9_363:  ( - ; 4 )
manifold_2_9_364:  ( - ; 2 ) = Klein bottle
manifold_2_9_365:  ( - ; 2 ) = Klein bottle
manifold_2_9_366:  ( - ; 2 ) = Klein bottle
manifold_2_9_367:  ( - ; 2 ) = Klein bottle
manifold_2_9_368:  ( - ; 3 )
manifold_2_9_369:  ( - ; 2 ) = Klein bottle
manifold_2_9_370:  ( - ; 2 ) = Klein bottle
manifold_2_9_371:  ( - ; 2 ) = Klein bottle
manifold_2_9_372:  ( - ; 2 ) = Klein bottle
manifold_2_9_373:  ( - ; 2 ) = Klein bottle
manifold_2_9_374:  ( - ; 2 ) = Klein bottle
manifold_2_9_375:  ( - ; 2 ) = Klein bottle
manifold_2_9_376:  ( + ; 1 ) = T^2
manifold_2_9_377:  ( - ; 3 )
manifold_2_9_378:  ( - ; 2 ) = Klein bottle
manifold_2_9_379:  ( + ; 1 ) = T^2
manifold_2_9_380:  ( - ; 2 ) = Klein bottle
manifold_2_9_381:  ( - ; 2 ) = Klein bottle
manifold_2_9_382:  ( + ; 1 ) = T^2
manifold_2_9_383:  ( + ; 1 ) = T^2
manifold_2_9_384:  ( + ; 1 ) = T^2
manifold_2_9_385:  ( - ; 2 ) = Klein bottle
manifold_2_9_386:  ( - ; 2 ) = Klein bottle
manifold_2_9_387:  ( - ; 2 ) = Klein bottle
manifold_2_9_388:  ( - ; 2 ) = Klein bottle
manifold_2_9_389:  ( - ; 2 ) = Klein bottle
manifold_2_9_390:  ( - ; 2 ) = Klein bottle
manifold_2_9_391:  ( + ; 1 ) = T^2
manifold_2_9_392:  ( + ; 1 ) = T^2
manifold_2_9_393:  ( - ; 2 ) = Klein bottle
manifold_2_9_394:  ( - ; 2 ) = Klein bottle
manifold_2_9_395:  ( + ; 1 ) = T^2
manifold_2_9_396:  ( - ; 2 ) = Klein bottle
manifold_2_9_397:  ( - ; 2 ) = Klein bottle
manifold_2_9_398:  ( - ; 2 ) = Klein bottle
manifold_2_9_399:  ( - ; 3 )
manifold_2_9_400:  ( - ; 1 ) = RP^2
manifold_2_9_401:  ( - ; 2 ) = Klein bottle
manifold_2_9_402:  ( - ; 1 ) = RP^2
manifold_2_9_403:  ( - ; 1 ) = RP^2
manifold_2_9_404:  ( - ; 3 )
manifold_2_9_405:  ( + ; 1 ) = T^2
manifold_2_9_406:  ( + ; 1 ) = T^2
manifold_2_9_407:  ( - ; 3 )
manifold_2_9_408:  ( - ; 3 )
manifold_2_9_409:  ( - ; 3 )
manifold_2_9_410:  ( - ; 2 ) = Klein bottle
manifold_2_9_411:  ( - ; 2 ) = Klein bottle
manifold_2_9_412:  ( - ; 2 ) = Klein bottle
manifold_2_9_413:  ( - ; 4 )
manifold_2_9_414:  ( - ; 2 ) = Klein bottle
manifold_2_9_415:  ( - ; 3 )
manifold_2_9_416:  ( - ; 4 )
manifold_2_9_417:  ( - ; 3 )
manifold_2_9_418:  ( - ; 3 )
manifold_2_9_419:  ( + ; 1 ) = T^2
manifold_2_9_420:  ( + ; 1 ) = T^2
manifold_2_9_421:  ( + ; 1 ) = T^2
manifold_2_9_422:  ( + ; 1 ) = T^2
manifold_2_9_423:  ( + ; 1 ) = T^2
manifold_2_9_424:  ( + ; 1 ) = T^2
manifold_2_9_425:  ( - ; 2 ) = Klein bottle
manifold_2_9_426:  ( - ; 2 ) = Klein bottle
manifold_2_9_427:  ( - ; 2 ) = Klein bottle
manifold_2_9_428:  ( - ; 2 ) = Klein bottle
manifold_2_9_429:  ( - ; 3 )
manifold_2_9_430:  ( + ; 1 ) = T^2
manifold_2_9_431:  ( + ; 1 ) = T^2
manifold_2_9_432:  ( + ; 1 ) = T^2
manifold_2_9_433:  ( + ; 1 ) = T^2
manifold_2_9_434:  ( + ; 1 ) = T^2
manifold_2_9_435:  ( - ; 1 ) = RP^2
manifold_2_9_436:  ( - ; 1 ) = RP^2
manifold_2_9_437:  ( - ; 1 ) = RP^2
manifold_2_9_438:  ( + ; 0 ) = S^2
manifold_2_9_439:  ( + ; 0 ) = S^2
manifold_2_9_440:  ( + ; 0 ) = S^2
manifold_2_9_441:  ( + ; 0 ) = S^2
manifold_2_9_442:  ( + ; 0 ) = S^2
manifold_2_9_443:  ( + ; 0 ) = S^2
manifold_2_9_444:  ( + ; 0 ) = S^2
manifold_2_9_445:  ( + ; 0 ) = S^2
manifold_2_9_446:  ( - ; 1 ) = RP^2
manifold_2_9_447:  ( - ; 1 ) = RP^2
manifold_2_9_448:  ( + ; 0 ) = S^2
manifold_2_9_449:  ( - ; 1 ) = RP^2
manifold_2_9_450:  ( - ; 1 ) = RP^2
manifold_2_9_451:  ( + ; 0 ) = S^2
manifold_2_9_452:  ( + ; 0 ) = S^2
manifold_2_9_453:  ( + ; 0 ) = S^2
manifold_2_9_454:  ( - ; 1 ) = RP^2
manifold_2_9_455:  ( + ; 0 ) = S^2
manifold_2_9_456:  ( + ; 0 ) = S^2
manifold_2_9_457:  ( + ; 0 ) = S^2
manifold_2_9_458:  ( + ; 0 ) = S^2
manifold_2_9_459:  ( - ; 2 ) = Klein bottle
manifold_2_9_460:  ( - ; 1 ) = RP^2
manifold_2_9_461:  ( - ; 2 ) = Klein bottle
manifold_2_9_462:  ( - ; 1 ) = RP^2
manifold_2_9_463:  ( + ; 1 ) = T^2
manifold_2_9_464:  ( - ; 1 ) = RP^2
manifold_2_9_465:  ( - ; 1 ) = RP^2
manifold_2_9_466:  ( - ; 1 ) = RP^2
manifold_2_9_467:  ( - ; 1 ) = RP^2
manifold_2_9_468:  ( - ; 1 ) = RP^2
manifold_2_9_469:  ( - ; 1 ) = RP^2
manifold_2_9_470:  ( - ; 2 ) = Klein bottle
manifold_2_9_471:  ( - ; 1 ) = RP^2
manifold_2_9_472:  ( + ; 1 ) = T^2
manifold_2_9_473:  ( + ; 0 ) = S^2
manifold_2_9_474:  ( + ; 0 ) = S^2
manifold_2_9_475:  ( + ; 1 ) = T^2
manifold_2_9_476:  ( + ; 1 ) = T^2
manifold_2_9_477:  ( + ; 1 ) = T^2
manifold_2_9_478:  ( + ; 1 ) = T^2
manifold_2_9_479:  ( + ; 1 ) = T^2
manifold_2_9_480:  ( - ; 1 ) = RP^2
manifold_2_9_481:  ( - ; 2 ) = Klein bottle
manifold_2_9_482:  ( - ; 1 ) = RP^2
manifold_2_9_483:  ( - ; 1 ) = RP^2
manifold_2_9_484:  ( - ; 1 ) = RP^2
manifold_2_9_485:  ( - ; 1 ) = RP^2
manifold_2_9_486:  ( - ; 1 ) = RP^2
manifold_2_9_487:  ( - ; 1 ) = RP^2
manifold_2_9_488:  ( - ; 1 ) = RP^2
manifold_2_9_489:  ( - ; 1 ) = RP^2
manifold_2_9_490:  ( - ; 1 ) = RP^2
manifold_2_9_491:  ( - ; 1 ) = RP^2
manifold_2_9_492:  ( - ; 2 ) = Klein bottle
